ranking,tier,score,companyName,companyType,status,emailVerified,email,city,country,website,sourceUrl
11,B,48,Business-Netzwerklösungen „Engineered in Germany“: LANCOM ...,Manufacturer,verified,True,info@lancom.de,Germany,Germany,https://lancom-systems.de,https://www.lancom-systems.de/
12,B,48,Network Security | Lösungen für die Netzwerksicherheit,Manufacturer,verified,True,info@nomios.de,Germany,Germany,https://nomios.de,https://www.nomios.de/cybersicherheit/netzwerksicherheit/
13,B,48,Netzwerksicherheit Rhein-Neckar – Firewall & NDR - GEMAKOM,Manufacturer,verified,True,info@gemakom.de,Germany,Germany,https://gemakom.de,https://gemakom.de/it-security-beratung/netzwerksicherheit-rhein-neckar
14,B,48,Was ist Netzwerksicherheit? | Trend Micro (DE),Manufacturer,verified,True,ir@trendmicro.com,Germany,Germany,https://trendmicro.com,https://www.trendmicro.com/de_de/what-is/network-security.html
15,B,48,"CSN Germany GmbH | USV Anlagen, Netzwerksicherheit, Cisco, Rhode&Schwarz, Routing , Switching, Firewall, Datensicherung",Manufacturer,verified,True,info@csn-germany.de,Germany,Germany,https://csn-germany.de,https://www.csn-germany.de/
16,B,48,Machine Security and OT Security in Accordance with IEC 62443 | Network Security | Solutions | Helmholz,Integrator,verified,True,info@helmholz.com,Germany,Germany,https://helmholz.de,https://www.helmholz.de/en/solutions/network-security/machine-security-and-ot-security-in-accordance-with-iec-62443/
17,B,48,Grundlagen der Netzwerksicherheit,Manufacturer,verified,True,info@lancom.de,Germany,Germany,https://lancom-systems.com,https://www.lancom-systems.com/solutions/network-security/network-security-basics
18,B,48,IT-Sicherheit Made in Germany | G DATA: G DATA CyberDefense AG,Company,verified,True,sales@gdata.de,Germany,Germany,https://gdata.de,https://www.gdata.de/
19,B,48,Securepoint: IT-Sicherheit für Unternehmen - Full Service,Manufacturer,verified,True,info@securepoint.de,Germany,Germany,https://securepoint.de,https://www.securepoint.de/en/
20,B,48,DE More about Orange Cyberdefense Germany,Service,verified,True,jobs@nl.orangecyberdefense.com,Germany,Germany,https://jobs.orangecyberdefense.com,https://jobs.orangecyberdefense.com/de/pages/de-more-about-orange-cyberdefense-germany
21,B,48,CyberGlobal Germany - Die IT-Sicherheitsexperten,Company,verified,True,info.de@cybergl.com,Germany,Germany,https://cybergl.com,https://cybergl.com/de/
22,B,42,BSI - Bundesamt für Sicherheit in der Informationstechnik,Company,verified,True,bsi@bsi.bund.de,Germany,Germany,https://bsi.bund.de,https://www.bsi.bund.de/
23,B,42,KI-gestützte Netzwerklösungen | Extreme Networks,Manufacturer,verified,True,pr@extremenetworks.com,Germany,Germany,https://extremenetworks.com,https://www.extremenetworks.com/de
24,B,42,Palo Alto Networks: Leader bei Cybersicherheitslösungen und ...,Manufacturer,verified,True,nextwave@paloaltonetworks.com,Germany,Germany,https://paloaltonetworks.de,https://www.paloaltonetworks.de/
25,B,42,THE BRISTOL GROUP - IT Sicherheit Software und Seminare,Manufacturer,verified,True,info@bristol.de,Germany,Germany,https://bristol.de,https://www.bristol.de/
26,B,42,"Netzwerksicherheit, Computertechnik, Netzwerkanalyse, Support, Security, Bautzen, Wilthen, Dresden",Manufacturer,verified,True,buc@buc-plan.de,Germany,Germany,https://buc-plan.de,https://buc-plan.de/kernkompetenzen/netzwerksicherheit
27,B,42,Teufel NET - Netzwerksicherheit VoIP WLAN SD-WAN Managed Services,Manufacturer,verified,True,mail@teufelnet.de,Germany,Germany,https://teufelnet.de,https://www.teufelnet.de/
28,B,42,Network Security | Lösungen für die Netzwerksicherheit,Manufacturer,verified,True,info@nomios.com,Germany,Germany,https://nomios.com,https://www.nomios.com/security/network/
29,B,42,Umfassende Netzwerksicherheit für hybride Unternehmen,Manufacturer,verified,True,businessdevelopment@watchguard.com,Germany,Germany,https://watchguard.com,https://www.watchguard.com/wgrd-products/network-security
30,B,42,Netzwerksicherheit ▶ Guide und Tipps | Vije,Manufacturer,verified,True,info@vije.de,Germany,Germany,https://vije.de,https://vije.de/netzwerksicherheit/
31,B,42,IT-Sicherheit mit Anqa IT-Security als Managed Service,Service,verified,True,info@anqa-itsecurity.de,Germany,Germany,https://anqa-itsecurity.de,https://anqa-itsecurity.de/
32,B,42,splone · Software- und Netzwerksicherheit.,Manufacturer,verified,True,mail@splone.com,Germany,Germany,https://splone.com,https://splone.com/
33,B,42,Security Netzwerk,Manufacturer,verified,True,profi@profi-ag.de,Germany,Germany,https://profi-ag.de,https://www.profi-ag.de/loesungen/security/security-netzwerk/
34,B,42,"Cybersicherheit, Unternehmens-IT & Embedded Security | Cyberschutzsystems",Company,verified,True,info@cyberschutzsystems.de,Germany,Germany,https://cyberschutzsystems.de,https://cyberschutzsystems.de/
35,B,42,Deutsche Cyber-Sicherheitsorganisation | DCSO,Service,verified,True,info@dcso.de,Germany,Germany,https://dcso.de,https://dcso.de/en/
36,B,42,Cybersicherheitsunternehmen in Deutschland - Liste der Top-Akteure,Company,verified,True,info@mordorintelligence.com,Germany,Germany,https://mordorintelligence.com,https://www.mordorintelligence.com/de/industry-reports/germany-cybersecurity-market/companies
37,B,42,secunet AG: Schutz digitaler Infrastrukturen,Company,verified,True,info@secunet.com,Germany,Germany,https://secunet.com,https://www.secunet.com/
38,B,42,Anbieterverzeichnis - Marktplatz IT-Sicherheit,Company,verified,True,marktplatz@it-sicherheit.de,Germany,Germany,https://it-sicherheit.de,https://it-sicherheit.de/anbieterverzeichnis/
39,B,42,SITS | Simplify Cyber Security,Service,verified,True,info@sits.com,Germany,Germany,https://sits.com,https://sits.com/de/
40,B,42,Cyber Security - Axians Deutschland,Manufacturer,verified,True,datenschutz@security.axians.de,Germany,Germany,https://axians.de,https://www.axians.de/portfolio/cyber-security/
41,B,42,Startseite - Cyberagentur,Service,verified,True,datenschutz@cyberagentur.de,Germany,Germany,https://cyberagentur.de,https://www.cyberagentur.de/
42,B,42,Cyber Security für Unternehmen & Behörden - 24/7 aus Deutschland,Company,verified,True,info@8com.de,Germany,Germany,https://8com.de,https://www.8com.de/
43,B,42,Cyber Security Consulting | HvS-Consulting,Service,verified,True,welcome@hvs-consulting.de,Germany,Germany,https://hvs-consulting.de,https://www.hvs-consulting.de/
44,B,42,doIT solutions,Integrator,verified,True,info@doit-solutions.de,Germany,Germany,https://doit-solutions.de,https://www.doit-solutions.de/
45,B,42,Verschlüsselung - Datenschutz-Grundverordnung (DSGVO ...,Company,verified,True,info@intersoft-consulting.de,Germany,Germany,https://dsgvo-gesetz.de,https://dsgvo-gesetz.de/themen/verschluesselung/
46,B,41,Cybersecurity | Made in Germany,Manufacturer,no-email,False,,Germany,Germany,https://isl.de,https://www.isl.de/
